rana,3,Merhaba oteli hiç beğenmedim Odalar resimdeki gibi değildi 
rana,8,Merhaba oteli çok beğendim Çalışanlar güler yüzlüydü  
rana,7,Merhaba otelin havuzu güzeldi Temizdi 
rana,3,Pek memnun kaldığım söylenemez.Dinlenme tesisleri ve servis ilgisi bakımından başarlı değiller.Sürekli su kesintisi yaşadım Suyun stabilitesi yoktu Otel içi temizlik servisinin kullandığı ürünler kalitesizdi Kötü
rana,9,Duşlar temizdi Genel olarak herşey iyiydi Çalışanlar güleryüzlüydü Oteldeki personelin tavrını çok takdir ettim Kaldığım en iyi otellerden biriydi Çok iyi
rana,7,kaldığım otel hoşuma gitti tekrar gelmeyi düşünüyoruz aynı alakayı görmek isteriz İyi
rana,7,Oteli çok beğendim.Su stabilitesi çok iyiydi Kahve makinesinin kahveleride hoştu İyi
rana,7,Etraf sakindi Su stabilitesi iyiydi Oda temizliği yeterliydi İyi
ahmet,7,Sadece konaklama icin sakin ve temiz bir otel Fazla bi beklentiniz olmasin Bizim icin sadece konaklamak yeterliydi Cok sessiz tam aile tipi Evine girer gibi girip cikiyosun Araciniz varsa tercih edilebilicek bir yer Merkeze 15 km mesafe İyi
ahmet,1,bizim için ayırılan odaya girişi 20.00'de yapmamıza ragmen temizlememişlerdi Başka bir odaya geçirdiler ve bu odada sabun bile yoktur İstememize ragmen sabunu getirmediler Kaldığımız odanın kart sistemi bozuk olup odadan çıkınca geri içeri giremiyorduk Otel ücretini hotels.com üzerinden ödememize ragmen sabah çıkış yaparken tekrar ödeme istenildi Otel çok vasat olup çalışanların birbirlerinden haberleri yok Sözde kablosuz internet var ama tabiki çalışmamakta Kesinlikle tavsiye etmem Çok Kötü
ahmet,6,Otel şehir dışında ve fiyat-hizmet kalitesine baktığınızda dengesizlik var bir çok tv kanalı çekmiyor adanada kaldığım ibis hotelin 170 tl olan fiyatı ve hizmetinin yanında 190 tl çok yüksek İyihatice,3,Odalarda klimalar çalışmıyordu havanın soğuk olmadı sebebiyle ısıtıcıyla idare ettik.minibar olmasına rağmen içleri boştu Kötü
hatice,2,Odalarda klimalar çalışmıyordu havanın soğuk olmadı sebebiyle ısıtıcıyla idare ettik.minibar olmasına rağmen içleri boştu Çok Kötü
kenan,3,odaların temizliği iyi değildi Açık büfeyi beğenmedik Kötü
